INSPIREID;NATCODE;NAMEUNIT;CODNUT1;CODNUT2;CODNUT3;CODIGOINE;Shape__Are;Shape__Len;AREA_MPIO
ES.IGN.SIGLIM34101212093;34101212093;la Pobla de Benifassà;ES5;ES52;ES522;12093;236754606,877000004053116;77725,396622600004775;135,998886405000007
ES.IGN.SIGLIM34101212094;34101212094;la Pobla Tornesa;ES5;ES52;ES522;12094;44167521,275899998843670;35530,230129800002032;25,810088370599999
ES.IGN.SIGLIM34101212095;34101212095;Ribesalbes;ES5;ES52;ES522;12095;14603850,509500000625849;18386,755683999999746;8,553092823249999
ES.IGN.SIGLIM34101212096;34101212096;Rossell;ES5;ES52;ES522;12096;130188687,668999999761581;56862,785925500000303;74,925406002499997
ES.IGN.SIGLIM34101212097;34101212097;Sacañet;ES5;ES52;ES522;12097;51802880,418600000441074;37686,533202799997525;30,493443165399999
ES.IGN.SIGLIM34101212098;34101212098;la Salzadella;ES5;ES52;ES522;12098;86215156,978699997067451;52517,582319000001007;49,919887645700001
ES.IGN.SIGLIM34101212099;34101212099;Sant Jordi/San Jorge;ES5;ES52;ES522;12099;63251285,491999998688698;42244,121382999997877;36,493836407300002
ES.IGN.SIGLIM34101212100;34101212100;Sant Mateu;ES5;ES52;ES522;12100;111770962,552000001072884;45861,073407099996984;64,624269443000003
ES.IGN.SIGLIM34101212101;34101212101;San Rafael del Río;ES5;ES52;ES522;12101;36719308,067000001668930;32677,266002699998353;21,149879949999999
ES.IGN.SIGLIM34101212102;34101212102;Santa Magdalena de Pulpis;ES5;ES52;ES522;12102;114687120,660999998450279;48926,567660699998669;66,488875122799996
ES.IGN.SIGLIM34101212103;34101212103;la Serratella;ES5;ES52;ES522;12103;32387384,042899999767542;29936,547336399999040;18,812275008699999
ES.IGN.SIGLIM34101212104;34101212104;Segorbe;ES5;ES52;ES522;12104;179868404,479999989271164;76201,068537300001481;106,076552333999999
ES.IGN.SIGLIM34101212105;34101212105;Sierra Engarcerán;ES5;ES52;ES522;12105;140948453,377999991178513;56510,401683999996749;81,981390545799997
ES.IGN.SIGLIM34094343156;34094343156;Ulldecona;ES5;ES51;ES514;43156;220311585,724999994039536;89201,026290199995856;126,809635065999998
ES.IGN.SIGLIM34101212106;34101212106;Soneja;ES5;ES52;ES522;12106;49394050,977300003170967;42881,152687399997376;29,103283309500000
ES.IGN.SIGLIM34101212107;34101212107;Sot de Ferrer;ES5;ES52;ES522;12107;14656038,876700000837445;16734,183188800001517;8,639885068060000
ES.IGN.SIGLIM34101212108;34101212108;Sueras/Suera;ES5;ES52;ES522;12108;37856742,601499997079372;27950,524174700000003;22,218919713399998
ES.IGN.SIGLIM34101212109;34101212109;Tales;ES5;ES52;ES522;12109;24741871,096299998462200;27027,049388300001738;14,525146994900000
ES.IGN.SIGLIM34100303001;34100303001;l'Atzúbia;ES5;ES52;ES521;03001;24227684,713899999856949;23621,924747000000934;14,669598042800001
ES.IGN.SIGLIM34101212110;34101212110;Teresa;ES5;ES52;ES522;12110;33817386,309500001370907;28036,563694699998450;19,885599380300000
ES.IGN.SIGLIM34100303002;34100303002;Agost;ES5;ES52;ES521;03002;108793557,943000003695488;51110,383539100002963;66,637564371200000
ES.IGN.SIGLIM34100303003;34100303003;Agres;ES5;ES52;ES521;03003;42585133,655500002205372;26352,390755699998408;25,836671508500000
ES.IGN.SIGLIM34100303004;34100303004;Aigües;ES5;ES52;ES521;03004;30215459,834499999880791;26386,104544500001793;18,472966649000000
ES.IGN.SIGLIM34100303005;34100303005;Albatera;ES5;ES52;ES521;03005;99854806,429399996995926;44090,223563599996851;61,542701454300001
ES.IGN.SIGLIM34100303006;34100303006;Alcalalí;ES5;ES52;ES521;03006;23709897,046700000762939;27706,150396699998964;14,397373688800000
ES.IGN.SIGLIM34100303007;34100303007;Alcocer de Planes;ES5;ES52;ES521;03007;7233055,083080000244081;11764,451843500000905;4,387346343410000
ES.IGN.SIGLIM34100303008;34100303008;Alcoleja;ES5;ES52;ES521;03008;23917171,751600001007318;24610,328257000001031;14,559927270699999
ES.IGN.SIGLIM34100303009;34100303009;Alcoy/Alcoi;ES5;ES52;ES521;03009;213421021,370000004768372;75449,040811600003508;129,860653450000001
ES.IGN.SIGLIM34100303010;34100303010;Alfafara;ES5;ES52;ES521;03010;32592509,052700001746416;23884,858719700001529;19,777418001699999
ES.IGN.SIGLIM34100303011;34100303011;l'Alfàs del Pi;ES5;ES52;ES521;03011;32447634,422200001776218;28080,416599500000302;19,800339672100002
ES.IGN.SIGLIM34100303012;34100303012;Algorfa;ES5;ES52;ES521;03012;29660961,019699998199940;37142,780084999998508;18,356335447599999
ES.IGN.SIGLIM34100303013;34100303013;Algueña;ES5;ES52;ES521;03013;30013084,372699998319149;37691,337091900000814;18,433204801300000
ES.IGN.SIGLIM34100303014;34100303014;Alicante/Alacant;ES5;ES52;ES521;03014;328717776,412000000476837;184626,706686999998055;201,675648332000009
ES.IGN.SIGLIM34100303015;34100303015;Almoradí;ES5;ES52;ES521;03015;69046186,499799996614456;67966,713938100001542;42,721519844600003
ES.IGN.SIGLIM34100303016;34100303016;Almudaina;ES5;ES52;ES521;03016;14528994,251700000837445;15808,458626899999217;8,820414735180000
ES.IGN.SIGLIM34100303017;34100303017;l'Alqueria d'Asnar;ES5;ES52;ES521;03017;1785631,640270000090823;12257,997065100000327;1,083853121560000
ES.IGN.SIGLIM34100303018;34100303018;Altea;ES5;ES52;ES521;03018;57062844,422799997031689;44739,339795899999444;34,776085481800003
ES.IGN.SIGLIM34100303019;34100303019;Aspe;ES5;ES52;ES521;03019;114766319,268999993801117;49013,952670099999523;70,513653399299997
ES.IGN.SIGLIM34100303020;34100303020;Balones;ES5;ES52;ES521;03020;18513214,954500000923872;22040,692969499999890;11,245453443800001
ES.IGN.SIGLIM34100303021;34100303021;Banyeres de Mariola;ES5;ES52;ES521;03021;82680923,194000005722046;50387,638383700003033;50,276662101100001
ES.IGN.SIGLIM34100303022;34100303022;Benasau;ES5;ES52;ES521;03022;14863165,817500000819564;21034,232343700001366;9,040449776219999
ES.IGN.SIGLIM34100303023;34100303023;Beneixama;ES5;ES52;ES521;03023;57400981,589100003242493;34235,321943700000702;34,888271433500002
ES.IGN.SIGLIM34100303024;34100303024;Benejúzar;ES5;ES52;ES521;03024;15075795,584799999371171;19841,924027900000510;9,327529042200000
ES.IGN.SIGLIM34100303025;34100303025;Benferri;ES5;ES52;ES521;03025;20023145,512600000947714;21212,463843699999416;12,362299886300001
ES.IGN.SIGLIM34100303026;34100303026;Beniarbeig;ES5;ES52;ES521;03026;12212245,048399999737740;22603,160269600000902;7,402915648020000
ES.IGN.SIGLIM34100303027;34100303027;Beniardá;ES5;ES52;ES521;03027;25878047,311700001358986;27050,569633399998565;15,740066679100000
ES.IGN.SIGLIM34100303028;34100303028;Beniarrés;ES5;ES52;ES521;03028;33354279,367499999701977;26297,961051800000860;20,214472401399998
ES.IGN.SIGLIM34100303029;34100303029;Benigembla;ES5;ES52;ES521;03029;30384071,343699999153614;22551,653623599999264;18,454750399700000
ES.IGN.SIGLIM34100303030;34100303030;Benidoleig;ES5;ES52;ES521;03030;12337852,972100000828505;16870,000119299998914;7,484339816210000
ES.IGN.SIGLIM34100303031;34100303031;Benidorm;ES5;ES52;ES521;03031;63063323,215499997138977;50937,862848299999314;38,507697952299999
ES.IGN.SIGLIM34100303032;34100303032;Benifallim;ES5;ES52;ES521;03032;22479305,419900000095367;23339,246669500000280;13,688388218400000
ES.IGN.SIGLIM34100303033;34100303033;Benifato;ES5;ES52;ES521;03033;19513694,083900000900030;19918,556703300000663;11,880779438099999
ES.IGN.SIGLIM34100303034;34100303034;Benijófar;ES5;ES52;ES521;03034;7047578,249450000002980;11250,170897899999545;4,360258978970000
ES.IGN.SIGLIM34100303035;34100303035;Benilloba;ES5;ES52;ES521;03035;15685793,979499999433756;21155,495300599999609;9,538178600129999
ES.IGN.SIGLIM34100303036;34100303036;Benillup;ES5;ES52;ES521;03036;5564603,367999999783933;13665,802754899999854;3,378929537480000
ES.IGN.SIGLIM34100303037;34100303037;Benimantell;ES5;ES52;ES521;03037;62234006,046999998390675;52842,886034000002837;37,906202915500003
ES.IGN.SIGLIM34100303038;34100303038;Benimarfull;ES5;ES52;ES521;03038;9167108,761140000075102;13338,264158399999360;5,563537396260000
ES.IGN.SIGLIM34100303039;34100303039;Benimassot;ES5;ES52;ES521;03039;15665545,873600000515580;17997,660159899998689;9,513138964090000
ES.IGN.SIGLIM34100303040;34100303040;Benimeli;ES5;ES52;ES521;03040;5783522,525679999962449;15364,783751499999198;3,504765612170000
ES.IGN.SIGLIM34100303041;34100303041;Benissa;ES5;ES52;ES521;03041;114598875,980000004172325;69097,200532300004852;69,710720485899998
ES.IGN.SIGLIM34100303042;34100303042;Benitachell/el Poble Nou de Benitatxell;ES5;ES52;ES521;03042;20896453,169300001114607;21986,095208999999159;12,699982273400000
ES.IGN.SIGLIM34100303043;34100303043;Biar;ES5;ES52;ES521;03043;161162520,956000000238419;52253,175411999996868;98,165454913900007
ES.IGN.SIGLIM34100303044;34100303044;Bigastro;ES5;ES52;ES521;03044;6621016,928770000115037;17093,456577500001004;4,097986149930000
ES.IGN.SIGLIM34100303045;34100303045;Bolulla;ES5;ES52;ES521;03045;22305956,508200000971556;21018,221825699998590;13,571654262499999
ES.IGN.SIGLIM34100303046;34100303046;Busot;ES5;ES52;ES521;03046;55339808,947700001299381;35327,127270199998748;33,841852472100001
ES.IGN.SIGLIM34100303047;34100303047;Calp;ES5;ES52;ES521;03047;38815765,591499999165535;40828,337393699999666;23,637706722000001
ES.IGN.SIGLIM34100303048;34100303048;Callosa d'en Sarrià;ES5;ES52;ES521;03048;56920132,903599999845028;39163,429589699997450;34,662088015300000
ES.IGN.SIGLIM34100303049;34100303049;Callosa de Segura;ES5;ES52;ES521;03049;40200320,081299997866154;52442,328484700003173;24,831531229900001
ES.IGN.SIGLIM34100303050;34100303050;el Campello;ES5;ES52;ES521;03050;90203085,338599994778633;72176,409417100003338;55,220627955600001
ES.IGN.SIGLIM34100303051;34100303051;Campo de Mirra/el Camp de Mirra;ES5;ES52;ES521;03051;35874525,671300001442432;34049,799540599997272;21,815682220399999
ES.IGN.SIGLIM34100303052;34100303052;Cañada;ES5;ES52;ES521;03052;31760991,846299998462200;31458,758497300001181;19,323897239600001
ES.IGN.SIGLIM34100303053;34100303053;Castalla;ES5;ES52;ES521;03053;187747264,527000010013580;71788,140312400006223;114,600547081000002
ES.IGN.SIGLIM34100303054;34100303054;Castell de Castells;ES5;ES52;ES521;03054;75581708,982199996709824;36186,903045599996403;45,922112567500001
ES.IGN.SIGLIM34100303055;34100303055;Catral;ES5;ES52;ES521;03055;32407710,193900000303984;25840,390084300001035;20,008157917199998
ES.IGN.SIGLIM34100303056;34100303056;Cocentaina;ES5;ES52;ES521;03056;87146924,380099996924400;49279,624039599999378;52,945564964600003
ES.IGN.SIGLIM34100303057;34100303057;Confrides;ES5;ES52;ES521;03057;65706584,449699997901917;39384,569179400001303;39,984144212899999
ES.IGN.SIGLIM34024444002;34024444002;Abejuela;ES2;ES24;ES242;44002;147468785,018000006675720;58468,569544300000416;86,663372839399997
ES.IGN.SIGLIM34024444004;34024444004;Aguaviva;ES2;ES24;ES242;44004;73667230,908999994397163;45605,762774800001353;42,150721547099998
ES.IGN.SIGLIM34024444010;34024444010;Albentosa;ES2;ES24;ES242;44010;116325266,642000004649162;46939,374273200002790;68,004967562800005
ES.IGN.SIGLIM34024444026;34024444026;Arcos de las Salinas;ES2;ES24;ES242;44026;192842866,166999995708466;71052,564389199993457;112,983235385000000
ES.IGN.SIGLIM34024444044;34024444044;Bordón;ES2;ES24;ES242;44044;52200968,109399996697903;39625,538424600003054;29,983072697600001
ES.IGN.SIGLIM34024444054;34024444054;Camarena de la Sierra;ES2;ES24;ES242;44054;136210886,118999987840652;49568,363948199999868;79,538983027599997
ES.IGN.SIGLIM34024444059;34024444059;Cantavieja;ES2;ES24;ES242;44059;215779033,173999994993210;72321,882779999999912;124,556258115999995
ES.IGN.SIGLIM34024444071;34024444071;Castellote;ES2;ES24;ES242;44071;410235571,412999987602234;121599,270703000001959;235,176578697999986
ES.IGN.SIGLIM34024444088;34024444088;La Cuba;ES2;ES24;ES242;44088;11309763,307499999180436;17105,770327300000645;6,514860994000000
ES.IGN.SIGLIM34024444092;34024444092;El Cuervo;ES2;ES24;ES242;44092;35578204,759800001978874;26961,218730699998559;20,759190102800002
ES.IGN.SIGLIM34024444113;34024444113;Fuentes de Rubielos;ES2;ES24;ES242;44113;66709403,736199997365475;36669,580187799998384;38,910612856400000
ES.IGN.SIGLIM34024444118;34024444118;La Ginebrosa;ES2;ES24;ES242;44118;140158767,264999985694885;74333,551077900003293;80,099007519099999
ES.IGN.SIGLIM34024444126;34024444126;La Iglesuela del Cid;ES2;ES24;ES242;44126;69721554,767399996519089;46489,824904799999786;40,294248123499997
ES.IGN.SIGLIM34024444135;34024444135;Libros;ES2;ES24;ES242;44135;64952920,313000001013279;37403,980356699998083;37,911517169800000
ES.IGN.SIGLIM34024444137;34024444137;Linares de Mora;ES2;ES24;ES242;44137;200203186,840000003576279;71438,888064400001895;116,274698414000000
ES.IGN.SIGLIM34024444143;34024444143;Manzanera;ES2;ES24;ES242;44143;288037387,529999971389771;71569,342376899992814;168,653778850000009
ES.IGN.SIGLIM34024444149;34024444149;Mirambel;ES2;ES24;ES242;44149;78898870,131099998950958;45238,158107900002506;45,469743849700002
ES.IGN.SIGLIM34024444154;34024444154;Monroyo;ES2;ES24;ES242;44154;138342917,402000010013580;60179,642856899998151;79,235117180000003
